datetime,LWIN,RH,SWIN,T,TP,WD,WS
2016-08-01 00:00:00,1136.210,100.741,0.731,286.281,0.001,195.159,0.421
2016-08-01 03:00:00,1115.467,90.082,251.873,286.678,0.001,196.804,0.736
2016-08-01 06:00:00,1082.262,82.424,1136.042,287.088,0.001,210.196,1.278
2016-08-01 09:00:00,1070.373,76.957,1123.084,287.364,0.001,218.921,1.208
2016-08-01 12:00:00,1056.690,88.031,467.527,287.133,0.000,210.380,0.819
2016-08-01 15:00:00,1029.638,92.342,31.167,287.007,0.000,214.353,0.513
2016-08-01 18:00:00,1018.557,97.364,0.000,286.511,0.000,217.270,0.858
2016-08-01 21:00:00,1123.596,100.065,0.000,286.289,0.001,241.610,0.326
2016-08-02 00:00:00,1096.458,98.136,1.121,286.263,0.000,217.266,0.310
2016-08-02 03:00:00,1011.717,91.664,722.365,286.708,0.000,207.104,0.625
2016-08-02 06:00:00,930.603,83.642,2569.862,287.686,0.000,207.952,1.208
2016-08-02 09:00:00,991.532,85.632,1856.970,287.635,0.001,217.794,1.073
2016-08-02 12:00:00,1058.202,100.337,466.617,287.493,0.001,213.230,1.005
2016-08-02 15:00:00,1054.275,96.746,29.673,287.092,0.000,216.491,0.560
2016-08-02 18:00:00,992.808,97.155,0.000,286.680,0.000,239.773,0.294
2016-08-02 21:00:00,1062.638,101.787,0.000,286.480,0.000,233.878,0.170
2016-08-03 00:00:00,1080.877,98.430,1.362,286.616,0.000,31.624,0.153
2016-08-03 03:00:00,953.895,85.559,803.854,287.478,0.000,95.674,0.110
2016-08-03 06:00:00,936.101,80.176,2691.538,288.235,0.000,202.205,1.071
2016-08-03 09:00:00,989.379,91.213,1808.533,288.183,0.001,213.671,1.372
2016-08-03 12:00:00,1066.396,89.447,466.275,287.748,0.001,227.628,0.711
2016-08-03 15:00:00,1029.337,96.362,26.784,287.487,0.000,229.894,0.239
2016-08-03 18:00:00,982.080,100.893,0.000,287.058,0.000,260.011,0.105
2016-08-03 21:00:00,1095.375,99.174,0.000,286.727,0.000,351.824,0.201
2016-08-04 00:00:00,1064.631,97.243,1.431,286.676,0.000,14.975,0.543
2016-08-04 03:00:00,950.359,87.133,852.886,287.241,0.000,43.807,0.467
2016-08-04 06:00:00,934.837,69.211,2627.818,288.741,0.000,208.667,0.730
2016-08-04 09:00:00,904.272,80.733,1973.426,288.561,0.000,224.494,0.571
2016-08-04 12:00:00,1016.991,93.982,434.221,288.467,0.001,223.286,0.935
2016-08-04 15:00:00,1093.389,99.699,27.116,287.783,0.000,338.925,0.167
2016-08-04 18:00:00,1034.579,102.278,0.000,287.537,0.000,189.658,0.323
2016-08-04 21:00:00,1097.103,98.972,0.000,287.156,0.000,318.968,0.205
2016-08-05 00:00:00,1035.100,98.705,1.359,287.057,0.000,357.674,0.336
2016-08-05 03:00:00,997.477,83.979,799.632,287.637,0.000,9.758,0.374
2016-08-05 06:00:00,947.932,84.215,2684.463,289.069,0.000,202.770,0.962
2016-08-05 09:00:00,1043.877,92.465,1793.499,289.262,0.001,206.502,1.292
2016-08-05 12:00:00,1119.502,89.081,454.707,288.320,0.001,217.251,0.856
2016-08-05 15:00:00,1029.845,99.312,24.616,287.584,0.000,255.348,0.162
2016-08-05 18:00:00,1026.431,99.389,0.000,287.305,0.000,232.862,0.528
2016-08-05 21:00:00,1076.433,99.877,0.000,286.825,0.000,306.209,0.168
2016-08-06 00:00:00,1109.881,99.995,1.157,286.343,0.000,38.853,0.604
2016-08-06 03:00:00,1064.296,89.914,577.985,287.233,0.000,24.507,0.414
2016-08-06 06:00:00,978.139,71.874,2504.169,288.239,0.000,195.600,1.144
2016-08-06 09:00:00,915.059,83.358,1795.174,288.655,0.001,201.211,1.581
2016-08-06 12:00:00,1034.149,86.423,430.505,288.142,0.001,233.991,0.924
2016-08-06 15:00:00,1059.945,92.510,28.278,287.689,0.000,217.028,0.713
2016-08-06 18:00:00,1119.129,96.763,0.000,287.352,0.000,218.546,0.855
2016-08-06 21:00:00,1087.647,96.307,0.000,286.928,0.000,303.008,0.064
2016-08-07 00:00:00,1069.128,96.757,1.090,287.273,0.000,6.591,0.259
2016-08-07 03:00:00,1007.514,84.324,721.054,287.623,0.000,196.379,0.508
2016-08-07 06:00:00,974.676,83.227,2332.318,288.460,0.000,197.419,1.353
2016-08-07 09:00:00,965.172,90.173,1832.918,288.808,0.001,217.665,1.334
2016-08-07 12:00:00,1026.093,95.312,415.041,288.098,0.001,217.903,1.136
2016-08-07 15:00:00,1059.450,95.528,26.688,287.394,0.001,229.075,0.586
2016-08-07 18:00:00,1087.077,99.606,0.000,287.202,0.000,214.564,0.267
2016-08-07 21:00:00,1082.098,98.532,0.000,286.642,0.000,338.939,0.104
2016-08-08 00:00:00,996.171,96.651,1.074,286.960,0.000,2.006,0.272
2016-08-08 03:00:00,1003.704,84.462,776.901,287.685,0.000,119.032,0.148
2016-08-08 06:00:00,970.838,74.184,2342.379,288.366,0.000,200.541,1.199
2016-08-08 09:00:00,1011.053,80.690,1520.744,288.340,0.001,211.003,1.262
