datetime,LWIN,RH,SWIN,T,TP,WD,WS
2015-01-01 00:00:00,-999,76.665,-999,266.098,0.000,24.179,0.995
2015-01-01 01:00:00,-999,76.256,-999,266.050,0.000,25.998,1.204
2015-01-01 02:00:00,-999,76.162,-999,265.916,0.000,26.767,1.296
2015-01-01 03:00:00,-999,76.035,-999,266.065,0.000,29.825,1.354
2015-01-01 04:00:00,-999,74.991,-999,266.420,0.000,36.572,1.299
2015-01-01 05:00:00,-999,73.505,-999,266.718,0.000,35.380,1.256
2015-01-01 06:00:00,-999,73.159,-999,266.998,0.000,22.536,1.289
2015-01-01 07:00:00,-999,71.847,-999,267.639,0.000,21.949,1.193
2015-01-01 08:00:00,-999,68.026,19.136,268.736,0.000,32.833,1.164
2015-01-01 09:00:00,-999,63.603,65.157,269.801,0.000,31.832,1.223
2015-01-01 10:00:00,-999,65.578,107.577,269.859,0.000,85.729,1.339
2015-01-01 11:00:00,-999,57.846,147.451,271.405,0.000,47.315,1.013
2015-01-01 12:00:00,-999,57.566,175.722,271.575,0.000,6.184,1.745
2015-01-01 13:00:00,-999,59.223,171.771,271.517,0.000,8.858,1.571
2015-01-01 14:00:00,-999,57.550,133.429,272.115,0.000,22.806,1.180
2015-01-01 15:00:00,-999,55.194,73.324,272.792,0.000,22.621,0.760
2015-01-01 16:00:00,578.501,52.723,10.383,273.397,0.000,10.354,0.652
2015-01-01 17:00:00,529.446,52.143,-999,273.639,0.000,6.074,1.340
2015-01-01 18:00:00,554.094,53.620,-999,273.505,0.000,3.966,1.917
2015-01-01 19:00:00,511.253,53.594,-999,273.799,0.000,15.489,1.177
2015-01-01 20:00:00,467.752,50.506,-999,274.464,0.000,6.135,0.868
2015-01-01 21:00:00,446.299,46.454,-999,275.050,0.000,15.718,0.439
2015-01-01 22:00:00,554.909,57.773,-999,273.523,0.000,182.503,0.185
2015-01-01 23:00:00,487.594,53.564,-999,274.079,0.000,333.831,0.415
2015-01-02 00:00:00,486.702,52.444,-999,274.102,0.000,326.069,0.582
2015-01-02 01:00:00,468.327,50.844,-999,274.265,0.000,300.969,0.680
2015-01-02 02:00:00,467.505,49.980,-999,274.278,0.000,312.263,1.306
2015-01-02 03:00:00,489.241,50.400,-999,274.060,0.000,318.595,1.390
2015-01-02 04:00:00,492.095,50.563,-999,273.918,0.000,308.666,1.160
2015-01-02 05:00:00,489.148,50.330,-999,273.865,0.000,306.774,1.429
2015-01-02 06:00:00,461.722,48.475,-999,274.129,0.000,300.967,1.013
2015-01-02 07:00:00,456.910,45.987,-999,274.445,0.000,309.525,0.890
2015-01-02 08:00:00,469.965,46.055,18.996,274.291,0.000,326.072,1.933
2015-01-02 09:00:00,482.866,48.978,60.834,273.955,0.000,328.430,1.946
2015-01-02 10:00:00,-999,55.503,103.510,273.002,0.000,323.439,1.846
2015-01-02 11:00:00,542.886,53.509,146.769,273.445,0.000,324.740,1.854
2015-01-02 12:00:00,631.438,54.745,176.599,273.255,0.000,329.838,1.783
2015-01-02 13:00:00,-999,54.674,171.670,273.002,0.000,336.203,2.256
2015-01-02 14:00:00,-999,50.863,128.746,272.849,0.000,332.606,1.678
2015-01-02 15:00:00,-999,52.439,62.474,272.674,0.000,317.515,1.667
2015-01-02 16:00:00,-999,61.931,6.923,272.045,0.000,309.720,1.544
2015-01-02 17:00:00,-999,71.350,-999,271.483,0.000,315.137,1.549
2015-01-02 18:00:00,-999,79.381,-999,271.193,0.000,315.912,1.472
2015-01-02 19:00:00,-999,88.530,-999,270.816,0.000,324.710,1.993
2015-01-02 20:00:00,-999,91.821,-999,270.560,0.000,321.940,2.284
2015-01-02 21:00:00,-999,91.762,-999,270.657,0.000,322.534,2.365
2015-01-02 22:00:00,-999,92.038,-999,270.892,0.000,317.975,2.264
2015-01-02 23:00:00,-999,92.205,-999,270.568,0.000,318.764,1.784
